Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
134,LAR,"Kamren Kinchens",DB,17,,8,-0.6%,0%,79.1,50,113,147,11.6
135,WAS,"Zach Ertz",TE,17,14.10,12,-6.2%,84%,92.2,113,120,146,11.3
136,SEA,"Cooper Kupp",WR,17,8.09,8,1.5%,54%,119.7,138,134,197.7,11.2
137,CIN,"Logan Wilson",LB,17,,10,-11.8%,29%,105.7,129,129,161.1,11.2
138,ATL,"Kyle Pitts",TE,17,11.06,5,5.4%,62%,92.9,110,111,162.6,11.1
139,KC,"Marquise Brown",WR,17,15.02,10,0.6%,78%,117.4,120,143,191.8,11.1
140,ATL,"Kaden Elliss",LB,17,,5,-2.4%,0%,107,107,129,159.8,11.1
141,WAS,"Austin Ekeler",RB,17,12.03,12,-3.9%,36%,97.9,122,144,172.8,11
142,CLE,"Carson Schwesinger",LB,17,,9,-7.3%,0%,104,,127,164.9,11
143,BAL,"Isaiah Likely",TE,16,16.11,7,4.6%,26%,90.4,98,112,168.5,10.9
144,TEN,"Tyjae Spears",RB,16,11.11,10,-0.4%,29%,106.5,118,133,190.3,10.8
145,MIA,"Jordyn Brooks",LB,17,,12,-7.1%,0%,111.2,137,131,150.4,10.7
146,JAC,"Tank Bigsby",RB,17,10.05,8,0.6%,15%,96.9,109,128,206.6,10.6
147,NYG,"Tyler Nubin",DB,17,,14,-8.3%,0%,83.7,81,112,139.5,10.6
148,HOU,"Christian Kirk",WR,17,14.08,6,0.3%,86%,121.6,118,145,179.6,10.5
149,CIN,"Trey Hendrickson",DL,17,,10,-11.8%,0%,69.5,79,91,105.2,10.4
150,NE,"Rhamondre Stevenson",RB,17,10.04,14,3.7%,56%,111.3,120,128,189.4,10.3
151,SF,"Nick Bosa",DL,17,,14,15.5%,0%,73.4,97,87,110.1,10.3
152,NE,"Hunter Henry",TE,17,13.09,14,1.6%,40%,98.7,106,113,150.9,10.2
153,SF,"Brandon Aiyuk",WR,11,12.01,14,1.1%,45%,96,131,143,190.5,10.2
154,SF,"Fred Warner",LB,17,,14,15.5%,0%,106.6,149,125,163.1,10
155,CLE,"Grant Delpit",DB,17,,9,-7.3%,19%,83,109,111,138.3,10
156,TEN,"Jeffery Simmons",DL,17,,10,10%,0%,69.7,73,89,107.2,10
157,LVR,"Jeremy Chinn",DB,17,,8,10.4%,29%,83.1,100,111,138.6,10
158,CHI,"Caleb Williams",QB,17,10.02,5,-4.1%,26%,268.7,291,316,354,9.9
159,PIT,"T.J. Watt",DL,16,,5,3.5%,0%,69.7,118,92,113.8,9.8
160,IND,"DeForest Buckner",DL,17,,11,9.6%,0%,64.5,95,90,105.7,9.8
161,BUF,"Terrel Bernard",LB,17,,7,9%,0%,101.8,148,121,169.6,9.2
162,TEN,"Chigoziem Okonkwo",TE,17,17.04,10,4.1%,29%,89.6,103,115,142.5,9
163,SEA,"Ernest Jones",LB,17,,8,-0.5%,0%,100.7,139,121,169.9,9
164,MIN,"Jonathan Greenard",DL,17,,6,-3.3%,0%,63,86,88,105.1,8.8
165,PIT,"Jonnu Smith",TE,17,10.11,5,3%,60%,89.2,99,108,155.9,8.7
166,HOU,"Jayden Higgins",WR,17,12.09,6,0.3%,0%,106,121,133,193.5,8.6
167,ATL,"Jessie Bates",DB,17,,5,-2.4%,0%,80.9,121,101,151.7,8.5
168,SEA,"Julian Love",DB,17,,8,-0.5%,0%,88.4,131,104,140.5,8.5
169,CIN,"Mike Gesicki",TE,17,18.01,10,0.5%,23%,88.8,97,110,151.3,8.4
170,TB,"Cade Otton",TE,17,16.10,9,-2.6%,30%,93.7,99,114,138.3,8.3
171,CAR,"Demani Richardson",DB,17,,14,0.7%,0%,76.6,,109,136.9,8
172,PIT,"DeShon Elliott",DB,17,,5,3.5%,0%,79.2,4,108,136.7,7.9
173,LVR,"Germaine Pratt",LB,17,,8,10.4%,0%,93.5,122,117,175.3,7.8
174,SF,"Brock Purdy",QB,17,8.11,14,4.3%,25%,275.4,302,306,345.8,7.7
175,DAL,"Brandon Aubrey",K,17,11.05,10,-4.2%,0%,144.1,159,168,177.7,7.5
176,DEN,"Riley Moss",DB,17,,12,7.7%,0%,76.9,5,107,136.7,7.4
177,SEA,"Nick Emmanwori",DB,17,,8,-0.5%,0%,68.5,,102,153.3,7.4
178,NYG,"Brian Burns",DL,16,,14,-8.3%,0%,70.3,81,88,105.5,7
179,WAS,"Jacory Croskey-Merritt",RB,17,15.05,12,-3.9%,0%,84.6,94,116,202.9,6.9
180,BUF,"Buffalo Bills",DEF,17,17.09,7,9%,0%,104.4,112,119,131.6,6.8
181,DAL,"Dak Prescott",QB,17,9.01,10,-5%,26%,272.3,290,306,345.8,6.5
182,HOU,"Danielle Hunter",DL,17,,6,-3.4%,0%,70.8,103,80,104.5,6.5
183,NYJ,"Jamien Sherwood",LB,17,,9,6.5%,0%,99.9,,119,160.5,6.5
184,JAC,"Brenton Strange",TE,17,17.01,8,3.7%,20%,87.9,99,101,150.5,6.4
185,DAL,"Javonte Williams",RB,17,10.03,10,-3.2%,80%,72.6,113,121,186.4,6.4
186,NE,"Drake Maye",QB,17,10.09,14,1.5%,20%,268.9,288,302,353.5,6.3
