Rank,Name,Team,Position,Proj Points,ADP,% Owned,% Started,Injury Status,Pass Yds,Pass TD,INT,Sacks,Rush Yds,Rush TD,Rush Att,Rec Yds,Rec TD,Rec,Fum Lost,2PT,FG Made,XP Made
897,Joseph Ngata,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
898,Jaleel McLaughlin,0,RB,,169.98,0.07,0.01,ACTIVE,,,,,,,,,,,,,,
899,Elijah Dotson,0,RB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
900,Rakim Jarrett,0,WR,,170,0,0,ACTIVE,,,,,,,,,,,,,,
901,Malik Heath,0,WR,,170,0,0,ACTIVE,,,,,,,,,,,,,,
902,Emari Demercado,DAL,RB,0,170.37,0.93,0.06,ACTIVE,,,,,,,,,,,,,,
903,Chase Cota,0,WR,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
904,Malik Cunningham,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
905,Blake Grupe,NYJ,K,0,170.03,0.84,0.48,ACTIVE,,,,,,,,,,,,,,
906,Mitchell Tinsley,0,WR,0,169.99,0.05,0.01,ACTIVE,,,,,,,,,,,,,,
907,Jake Browning,0,QB,0,170,0.06,0.01,ACTIVE,,,,,,,,,,,,,,
908,Xavier Gipson,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
909,Elijah Cooks,0,WR,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
910,Kearis Jackson,0,WR,,170,0,0,ACTIVE,,,,,,,,,,,,,,
911,Xazavian Valladay,0,RB,,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
912,Ben VanSumeren,0,RB,,169.99,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
913,Tucker Fisk,0,TE,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
914,Shedrick Jackson,0,WR,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
915,Rodney Williams,0,TE,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
916,Tyler Goodson,0,RB,,169.99,0.04,0.01,ACTIVE,,,,,,,,,,,,,,
917,Jordan Mims,0,RB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
918,Ellis Merriweather,0,RB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
919,Henry Pearson,0,TE,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
920,Travis Vokolek,0,TE,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
921,Owen Wright,0,RB,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
922,Terrell Bynum,0,WR,,170,0,0,ACTIVE,,,,,,,,,,,,,,
923,Nathan Rourke,0,QB,,169.99,0.01,0,ACTIVE,,,,,,,,,,,,,,
924,SaRodorick Thompson Jr.,0,RB,,169.98,0.02,0.01,ACTIVE,,,,,,,,,,,,,,
925,Dylan Drummond,0,WR,0,170,0.02,0,ACTIVE,,,,,,,,,,,,,,
926,Lucas Havrisik,0,K,0,169.99,0.03,0.02,ACTIVE,,,,,,,,,,,,,,
927,Jermaine Burton,0,WR,,170,0.01,0,ACTIVE,,,,,,,,,,,,,,
928,Ja'Lynn Polk,NO,WR,0,169.99,0.02,0,ACTIVE,,,,,,,,,,,,,,
