"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"354",12,"Luke Musgrave",GB,"TE47","5","2 out of 5 stars","-"
"355",12,"Washington Commanders",WAS,"DST24","12","4 out of 5 stars","-145"
"356",12,"Jake Moody",SF,"K22","14","5 out of 5 stars","-115"
"357",12,"Kalel Mullings",TEN,"RB102","10","2 out of 5 stars","-"
"358",12,"Savion Williams",GB,"WR126","5","2 out of 5 stars","-"
"359",12,"LeQuint Allen Jr.",JAC,"RB103","8","2 out of 5 stars","-"
"360",12,"Kirk Cousins",ATL,"QB38","5","4 out of 5 stars","-84"
"361",12,"Chimere Dike",TEN,"WR127","10","4 out of 5 stars","-"
"362",12,"Curtis Samuel",BUF,"WR128","7","3 out of 5 stars","-"
"363",13,"Gunnar Helm",TEN,"TE48","10","3 out of 5 stars","-"
"364",13,"Austin Hooper",NE,"TE49","14","3 out of 5 stars","-"
"365",13,"Mack Hollins",NE,"WR129","14","3 out of 5 stars","-"
"366",13,"Emari Demercado",ARI,"RB104","8","3 out of 5 stars","-"
"367",13,"Jameis Winston",NYG,"QB39","14","1 out of 5 stars","-"
"368",13,"Allen Lazard",NYJ,"WR130","9","4 out of 5 stars","-"
"369",13,"Gus Edwards",FA,"RB105","-","-","-"
"370",13,"Justin Tucker",FA,"K23","-","-","-"
"371",13,"Zay Jones",ARI,"WR131","8","4 out of 5 stars","-"
"372",13,"Cam Akers",FA,"RB106","-","-","-"
"373",13,"Greg Dortch",ARI,"WR132","8","4 out of 5 stars","-"
"374",13,"Van Jefferson",TEN,"WR133","10","4 out of 5 stars","-"
"375",13,"Tommy Tremble",CAR,"TE50","14","4 out of 5 stars","-"
"376",13,"Jahan Dotson",PHI,"WR134","9","3 out of 5 stars","-"
"377",13,"Foster Moreau",NO,"TE51","11","3 out of 5 stars","-"
"378",13,"Cade Stover",HOU,"TE52","6","3 out of 5 stars","-"
"379",13,"Jimmy Garoppolo",LAR,"QB40","8","3 out of 5 stars","-"
"380",13,"Josh Oliver",MIN,"TE53","6","3 out of 5 stars","-"
"381",13,"Luke Schoonmaker",DAL,"TE54","10","2 out of 5 stars","-"
"382",13,"Dillon Gabriel",CLE,"QB41","9","2 out of 5 stars","-"
"383",13,"Jamari Thrash",CLE,"WR135","9","2 out of 5 stars","-"
"384",13,"JuJu Smith-Schuster",KC,"WR136","10","3 out of 5 stars","-"
"385",13,"Tyrod Taylor",NYJ,"QB42","9","5 out of 5 stars","-"
"386",13,"Jacob Cowing",SF,"WR137","14","4 out of 5 stars","-"
"387",13,"Indianapolis Colts",IND,"DST25","11","4 out of 5 stars","-53"
"388",13,"Atlanta Falcons",ATL,"DST26","5","3 out of 5 stars","-"
"389",13,"Kyle Juszczyk",SF,"RB107","14","3 out of 5 stars","-"
"390",13,"Jeremy McNichols",WAS,"RB108","12","2 out of 5 stars","-"
"391",13,"Hunter Renfrow",FA,"WR138","-","-","-"
"392",13,"Donovan Edwards",FA,"RB109","-","-","-"
"393",13,"Grant Calcaterra",PHI,"TE55","9","3 out of 5 stars","-"
"394",13,"Jeremy Ruckert",NYJ,"TE56","9","3 out of 5 stars","-"
"395",13,"Tank Dell",HOU,"WR139","6","4 out of 5 stars","-"
"396",13,"Joe Milton III",DAL,"QB43","10","2 out of 5 stars","-"
"397",13,"Craig Reynolds",DET,"RB110","8","2 out of 5 stars","-"
"398",13,"Kenny Pickett",LV,"QB44","8","3 out of 5 stars","-"
"399",13,"Trey Sermon",PIT,"RB111","5","4 out of 5 stars","-"
"400",13,"Efton Chism III",NE,"WR140","14","3 out of 5 stars","-"
"401",13,"Arian Smith",NYJ,"WR141","9","4 out of 5 stars","-"
"402",13,"Mitchell Evans",CAR,"TE57","14","4 out of 5 stars","-"
"403",13,"Jordan Watkins",SF,"WR142","14","4 out of 5 stars","-"
"404",13,"Devontez Walker",BAL,"WR143","7","3 out of 5 stars","-"
"405",13,"Stone Smartt",NYJ,"TE58","9","3 out of 5 stars","-"
"406",13,"Cincinnati Bengals",CIN,"DST27","10","2 out of 5 stars","-149"
"407",13,"Chad Ryland",ARI,"K24","8","3 out of 5 stars","-"
"408",13,"Cairo Santos",CHI,"K25","5","1 out of 5 stars","-"
"409",13,"Elijah Higgins",ARI,"TE59","8","5 out of 5 stars","-"
"410",13,"Mason Rudolph",PIT,"QB45","5","4 out of 5 stars","-"
"411",13,"Antwane Wells Jr.",FA,"WR144","-","-","-"
"412",13,"Tyler Goodson",IND,"RB112","11","2 out of 5 stars","-"
"413",13,"Kendrick Bourne",FA,"WR145","-","-","-"
"414",13,"Clyde Edwards-Helaire",FA,"RB113","-","-","-"
"415",13,"Jalin Hyatt",NYG,"WR146","14","2 out of 5 stars","-"
"416",13,"Julius Chestnut",TEN,"RB114","10","2 out of 5 stars","-"
"417",13,"Dare Ogunbowale",HOU,"RB115","6","2 out of 5 stars","-"
"418",13,"Malik Willis",GB,"QB46","5","2 out of 5 stars","-"
"419",13,"Darnell Washington",PIT,"TE60","5","3 out of 5 stars","-"
"420",13,"Theo Wease Jr.",MIA,"WR147","12","3 out of 5 stars","-"
"421",13,"Robert Woods",PIT,"WR148","5","4 out of 5 stars","-"
"422",13,"Eddy Pineiro",FA,"K26","-","-","-"
"423",13,"Jacksonville Jaguars",JAC,"DST28","8","4 out of 5 stars","-83"
"424",13,"Xavier Hutchinson",HOU,"WR149","6","4 out of 5 stars","-"
"425",13,"Jonathon Brooks",CAR,"RB116","14","3 out of 5 stars","-"
"426",13,"George Holani",SEA,"RB117","8","3 out of 5 stars","-"
"427",13,"Greg Dulcich",MIA,"TE61","12","3 out of 5 stars","-"
"428",13,"Matt Prater",FA,"K27","-","-","-"
"429",13,"Las Vegas Raiders",LV,"DST29","8","4 out of 5 stars","-92"
"430",13,"Marcus Mariota",WAS,"QB47","12","2 out of 5 stars","-"
"431",13,"Tennessee Titans",TEN,"DST30","10","5 out of 5 stars","-161"
"432",13,"New Orleans Saints",NO,"DST31","11","4 out of 5 stars","-90"
"433",13,"Ja'Quinden Jackson",JAC,"RB118","8","2 out of 5 stars","-"
"434",14,"Jimmy Horn Jr.",CAR,"WR150","14","4 out of 5 stars","-"
"435",14,"Pierre Strong Jr.",FA,"RB119","-","-","-"
"436",14,"D'Ernest Johnson",FA,"RB120","-","-","-"
"437",14,"Sam Howell",PHI,"QB48","9","3 out of 5 stars","-"
"438",14,"Tyquan Thornton",KC,"WR151","10","3 out of 5 stars","-"
"439",14,"Jake Browning",CIN,"QB49","10","2 out of 5 stars","-"
"440",14,"Carolina Panthers",CAR,"DST32","14","3 out of 5 stars","-"
"441",14,"KhaDarel Hodge",ATL,"WR152","5","3 out of 5 stars","-"
"442",14,"Tyler Badie",DEN,"RB121","12","2 out of 5 stars","-"
"443",14,"Hassan Haskins",LAC,"RB122","12","2 out of 5 stars","-"
"444",14,"Graham Gano",NYG,"K28","14","0 out of 5 stars","-"
"445",14,"Spencer Shrader",IND,"K29","11","5 out of 5 stars","-"
"446",14,"Blake Grupe",NO,"K30","11","5 out of 5 stars","-"
"447",14,"Kalif Raymond",DET,"WR153","8","3 out of 5 stars","-"
"448",14,"Aidan O'Connell",LV,"QB50","8","3 out of 5 stars","-"
"449",14,"Zach Wilson",MIA,"QB51","12","5 out of 5 stars","-"
"450",14,"Malachi Corley",CLE,"WR154","9","2 out of 5 stars","-"
"451",14,"Tyler Johnson",FA,"WR155","-","-","-"
"452",14,"Carson Steele",KC,"RB123","10","2 out of 5 stars","-"
"453",14,"Jake Bobo",SEA,"WR156","8","3 out of 5 stars","-"
"454",14,"Skyy Moore",SF,"WR157","14","4 out of 5 stars","-"
"455",14,"Cooper Rush",BAL,"QB52","7","3 out of 5 stars","-"
"456",14,"Alec Ingold",MIA,"RB124","12","4 out of 5 stars","-"
"457",14,"Sterling Shepard",TB,"WR158","9","3 out of 5 stars","-"
"458",14,"Gardner Minshew II",KC,"QB53","10","3 out of 5 stars","-"
"459",14,"Colby Parkinson",LAR,"TE62","8","4 out of 5 stars","-"
"460",14,"Matthew Wright",FA,"K31","-","-","-"
"461",14,"Cordarrelle Patterson",FA,"RB125","-","-","-"
"462",14,"Jacoby Brissett",ARI,"QB54","8","4 out of 5 stars","-"
"463",14,"Casey Washington",ATL,"WR159","5","3 out of 5 stars","-"
"464",14,"Tanner McKee",PHI,"QB55","9","3 out of 5 stars","-"
"465",14,"Tanner Hudson",CIN,"TE63","10","2 out of 5 stars","-"
"466",14,"Luke Farrell",SF,"TE64","14","3 out of 5 stars","-"
"467",14,"Jonathan Mingo",DAL,"WR160","10","2 out of 5 stars","-"
"468",14,"Lucky Jackson",MIN,"WR161","6","2 out of 5 stars","-"
"469",14,"Adam Trautman",DEN,"TE65","12","3 out of 5 stars","-"
"470",14,"K.J. Osborn",FA,"WR162","-","-","-"
"471",14,"Daniel Bellinger",NYG,"TE66","14","2 out of 5 stars","-"
"472",14,"Charlie Woerner",ATL,"TE67","5","3 out of 5 stars","-"
"473",14,"Tyson Bagent",CHI,"QB56","5","2 out of 5 stars","-"
"474",14,"Drew Lock",SEA,"QB57","8","4 out of 5 stars","-"
"475",14,"Michael Carter",ARI,"RB126","8","3 out of 5 stars","-"
"476",14,"Sione Vaki",DET,"RB127","8","2 out of 5 stars","-"
"477",14,"Julian Hill",MIA,"TE68","12","3 out of 5 stars","-"
"478",14,"Dylan Laube",LV,"RB128","8","2 out of 5 stars","-"
"479",14,"Andy Dalton",CAR,"QB58","14","3 out of 5 stars","-"
"480",14,"John Bates",WAS,"TE69","12","3 out of 5 stars","-"
"481",14,"Javon Baker",NE,"WR163","14","3 out of 5 stars","-"
"482",14,"Michael Gallup",FA,"WR164","-","-","-"
"483",14,"Deshaun Watson",CLE,"QB59","9","2 out of 5 stars","-"
"484",14,"Andrew Beck",NYJ,"TE70","9","3 out of 5 stars","-"
"485",14,"Kyle Trask",FA,"QB60","-","-","-"
"486",14,"Charlie Kolar",BAL,"TE71","7","3 out of 5 stars","-"
"487",14,"Andy Borregales",NE,"K32","14","4 out of 5 stars","-"
"488",14,"Mitchell Tinsley",CIN,"WR165","10","3 out of 5 stars","-"
"489",14,"Rasheen Ali",BAL,"RB129","7","4 out of 5 stars","-"
"490",14,"Harrison Bryant",HOU,"TE72","6","3 out of 5 stars","-"
"491",14,"Payne Durham",TB,"TE73","9","3 out of 5 stars","-"
"492",14,"Chris Tyree",NO,"RB130","11","4 out of 5 stars","-"
"493",14,"Derius Davis",LAC,"WR166","12","3 out of 5 stars","-"
"494",14,"Carlos Washington Jr.",ATL,"RB131","5","4 out of 5 stars","-"
"495",14,"Mac Jones",SF,"QB61","14","4 out of 5 stars","-"
"496",14,"Brock Wright",DET,"TE74","8","3 out of 5 stars","-"
"497",14,"Joey Slye",TEN,"K33","10","3 out of 5 stars","-"
"498",14,"Jarrett Stidham",DEN,"QB62","12","4 out of 5 stars","-"
"499",14,"Johnny Mundt",JAC,"TE75","8","3 out of 5 stars","-"
"500",14,"Thomas Fidone II",NYG,"TE76","14","2 out of 5 stars","-"
"501",14,"Hendon Hooker",CAR,"QB63","14","3 out of 5 stars","-"
"502",14,"Jake Haener",NO,"QB64","11","5 out of 5 stars","-"
"503",14,"Robert Tonyan",KC,"TE77","10","3 out of 5 stars","-"
"504",14,"Zavier Scott",MIN,"WR167","6","2 out of 5 stars","-"
"505",14,"Nick Mullens",JAC,"QB65","8","3 out of 5 stars","-"
"506",14,"Joshua Dobbs",NE,"QB66","14","5 out of 5 stars","-"
"507",14,"Marcus Yarns",FA,"RB132","-","-","-"
"508",14,"Quinn Ewers",MIA,"QB67","12","5 out of 5 stars","-"
"509",14,"Will Howard",PIT,"QB68","5","4 out of 5 stars","-"
"510",14,"Hunter Long",JAC,"TE78","8","3 out of 5 stars","-"
"511",14,"David Moore",CAR,"WR168","14","4 out of 5 stars","-"
"512",14,"Trent Sherfield Sr.",DEN,"WR169","12","3 out of 5 stars","-"
"513",14,"Trey Lance",LAC,"QB69","12","3 out of 5 stars","-"
"514",14,"Tyrell Shavers",BUF,"WR170","7","3 out of 5 stars","-"
"515",14,"Scotty Miller",PIT,"WR171","5","4 out of 5 stars","-"
"516",14,"Drew Sample",CIN,"TE79","10","2 out of 5 stars","-"
"517",14,"Ezekiel Elliott",FA,"RB133","-","-","-"
"518",14,"Ian Thomas",LV,"TE80","8","2 out of 5 stars","-"
"519",14,"C.J. Ham",MIN,"RB134","6","3 out of 5 stars","-"
"520",14,"Josh Whyle",FA,"TE81","-","-","-213"
"521",14,"DeeJay Dallas",FA,"RB135","-","-","-"
"522",14,"Corey Kiner",SF,"RB136","14","3 out of 5 stars","-"
"523",14,"Eric Gray",NYG,"RB137","14","3 out of 5 stars","-"
"524",14,"Nick Nash",ATL,"WR172","5","3 out of 5 stars","-"
"525",14,"Bub Means",NO,"WR173","11","4 out of 5 stars","-"
"526",14,"Konata Mumpfield",LAR,"WR174","8","3 out of 5 stars","-"
"527",15,"Tommy Mellott",FA,"WR175","-","-","-"
"528",15,"Ashton Dulin",IND,"WR176","11","4 out of 5 stars","-"
"529",15,"Russell Gage Jr.",FA,"WR177","-","-","-"
"530",15,"Jeff Wilson Jr.",FA,"RB138","-","-","-"
"531",15,"Mitchell Trubisky",BUF,"QB70","7","4 out of 5 stars","-"
"532",15,"Patrick Ricard",BAL,"RB139","7","4 out of 5 stars","-"
"533",15,"David Bell",CLE,"WR178","9","2 out of 5 stars","-"
"534",15,"DJ Chark Jr.",FA,"WR179","-","-","-"
"535",15,"Carson Wentz",MIN,"QB71","6","2 out of 5 stars","-"
"536",15,"Kyle Allen",DET,"QB72","8","2 out of 5 stars","-"
"537",15,"Beaux Collins",NYG,"WR180","14","2 out of 5 stars","-"
"538",15,"Kene Nwangwu",NYJ,"RB140","9","5 out of 5 stars","-"
"539",15,"Tylan Wallace",BAL,"WR181","7","3 out of 5 stars","-"
"540",15,"Mo Alie-Cox",IND,"TE82","11","3 out of 5 stars","-"
"541",15,"Davis Mills",HOU,"QB73","6","3 out of 5 stars","-"
"542",15,"Robbie Ouzts",SEA,"TE83","8","4 out of 5 stars","-"
"543",15,"Dalvin Cook",FA,"RB141","-","-","-"
"544",15,"Charlie Jones",CIN,"WR182","10","3 out of 5 stars","-"
"545",15,"Simi Fehoko",ARI,"WR183","8","4 out of 5 stars","-"
"546",15,"John Stephens Jr.",FA,"WR184","-","-","-"
"547",15,"Ben Skowronek",PIT,"WR185","5","4 out of 5 stars","-"
"548",15,"Taylor Heinicke",FA,"QB74","-","-","-"
"549",15,"Jalen Brooks",DAL,"WR186","10","2 out of 5 stars","-"
"550",15,"Ross Dwelley",FA,"TE84","-","-","-"
"551",15,"Travis Homer",CHI,"RB142","5","3 out of 5 stars","-"
"552",15,"Lucas Krull",DEN,"TE85","12","3 out of 5 stars","-"
"553",15,"Ricky White III",SEA,"WR187","8","3 out of 5 stars","-"
"554",15,"Michael Bennett",FA,"WR188","-","-","-"
"555",15,"Brevyn Spann-Ford",DAL,"TE86","10","2 out of 5 stars","-"
"556",15,"Michael Burton",DEN,"RB143","12","2 out of 5 stars","-"
"557",15,"Durham Smythe",CHI,"TE87","5","4 out of 5 stars","-"
"558",15,"Terrace Marshall Jr.",PHI,"WR189","9","3 out of 5 stars","-"
"559",15,"Jackson Hawes",BUF,"TE88","7","3 out of 5 stars","-"
"560",15,"Frank Gore Jr.",BUF,"RB144","7","4 out of 5 stars","-"
"561",15,"Jelani Woods",NYJ,"TE89","9","3 out of 5 stars","-"
"562",15,"Jared Wiley",KC,"TE90","10","3 out of 5 stars","-"
"563",15,"Luke Lachey",FA,"TE91","-","-","-"
"564",15,"Cole Turner",FA,"TE92","-","-","-"
"565",15,"Michael Woods II",FA,"WR190","-","-","-"
"566",15,"Troy Hairston II",FA,"RB145","-","-","-"
"567",15,"Ainias Smith",FA,"WR191","-","-","-"
"568",15,"Eric Saubert",SEA,"TE93","8","4 out of 5 stars","-"
"569",15,"Teagan Quitoriano",ATL,"TE94","5","3 out of 5 stars","-"
"570",15,"Hunter Luepke",DAL,"RB146","10","2 out of 5 stars","-"
"571",15,"Keaontay Ingram",KC,"RB147","10","2 out of 5 stars","-"
"572",15,"Deuce Vaughn",FA,"RB148","-","-","-"
"573",16,"Kylen Granson",PHI,"TE95","9","3 out of 5 stars","-"
"574",16,"Velus Jones Jr.",NO,"WR192","11","4 out of 5 stars","-"
"575",16,"Pharaoh Brown",FA,"TE96","-","-","-"
"576",16,"DeAndre Carter",CLE,"WR193","9","2 out of 5 stars","-"
"577",16,"Israel Abanikanda",GB,"RB149","5","4 out of 5 stars","-"
"578",16,"Jawhar Jordan",HOU,"RB150","6","2 out of 5 stars","-"
"579",16,"Ronnie Rivers",FA,"RB151","-","-","-"
"580",16,"Tim Jones",MIN,"WR194","6","2 out of 5 stars","-"
"581",16,"Jakob Johnson",ATL,"RB152","5","4 out of 5 stars","-"
"582",16,"Bo Melton",GB,"WR195","5","2 out of 5 stars","-"
