"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"217",8,"Darnell Mooney",NYG,"WR80","8","3 out of 5","4 out of 5","4 out of 5 stars","+68"
"218",8,"Cam Little",JAC,"K4","7","-","-","4 out of 5 stars","-57"
"219",8,"Baltimore Ravens",BAL,"DST11","13","-","-","5 out of 5 stars","-27"
"220",8,"Kansas City Chiefs",KC,"DST12","5","-","-","3 out of 5 stars","+9"
"221",8,"Jason Myers",SEA,"K5","11","4 out of 5","1 out of 5","4 out of 5 stars","-75"
"222",8,"Troy Franklin",DEN,"WR81","10","1 out of 5","4 out of 5","2 out of 5 stars","+85"
"223",8,"Tyler Loop",BAL,"K6","13","-","-","3 out of 5 stars","-25"
"224",9,"Jaylen Wright",MIA,"RB68","6","-","-","3 out of 5 stars","+19"
"225",9,"Eddy Pineiro",SF,"K7","8","4 out of 5","2 out of 5","5 out of 5 stars","-24"
"226",9,"Jake Bates",DET,"K8","6","4 out of 5","2 out of 5","5 out of 5 stars","-37"
"227",9,"Germie Bernard",PIT,"WR82","9","2 out of 5","4 out of 5","3 out of 5 stars","+41"
"228",9,"Green Bay Packers",GB,"DST13","11","-","-","2 out of 5 stars","-24"
"229",9,"David Njoku",LAC,"TE29","7","4 out of 5","4 out of 5","4 out of 5 stars","-51"
"230",9,"Zachariah Branch",ATL,"WR83","11","3 out of 5","4 out of 5","3 out of 5 stars","+8"
"231",9,"Fernando Mendoza",LV,"QB30","13","4 out of 5","3 out of 5","1 out of 5 stars","-75"
"232",9,"Kaelon Black",SF,"RB69","8","4 out of 5","4 out of 5","2 out of 5 stars","-25"
"233",9,"Harrison Mevis",LAR,"K9","11","4 out of 5","2 out of 5","2 out of 5 stars","-46"
"234",9,"Evan Engram",DEN,"TE30","10","-","-","4 out of 5 stars","+48"
"235",9,"Devaughn Vele",NO,"WR84","8","2 out of 5","4 out of 5","3 out of 5 stars","+37"
"236",9,"Cairo Santos",CHI,"K10","10","3 out of 5","3 out of 5","0 out of 5 stars","+21"
"237",9,"Buffalo Bills",BUF,"DST14","7","-","-","3 out of 5 stars","-4"
"238",9,"Justice Hill",BAL,"RB70","13","-","-","3 out of 5 stars","-3"
"239",9,"Detroit Lions",DET,"DST15","6","-","-","5 out of 5 stars","-26"
"240",9,"Malachi Fields",NYG,"WR85","8","4 out of 5","4 out of 5","4 out of 5 stars","-8"
"241",9,"Colby Parkinson",LAR,"TE31","11","-","-","4 out of 5 stars","+22"
"242",9,"Chase McLaughlin",TB,"K11","10","4 out of 5","2 out of 5","3 out of 5 stars","-12"
"243",9,"Jack Bech",LV,"WR86","13","3 out of 5","4 out of 5","2 out of 5 stars","+67"
"244",9,"Ollie Gordon II",MIA,"RB71","6","3 out of 5","4 out of 5","3 out of 5 stars","+79"
"245",9,"Keon Coleman",BUF,"WR87","7","2 out of 5","4 out of 5","4 out of 5 stars","+28"
"246",9,"Andy Borregales",NE,"K12","11","-","-","1 out of 5 stars","-29"
"247",9,"Tua Tagovailoa",ATL,"QB31","11","2 out of 5","4 out of 5","4 out of 5 stars","-8"
"248",9,"Demond Claiborne",MIN,"RB72","6","3 out of 5","4 out of 5","4 out of 5 stars","+4"
"249",9,"Evan McPherson",CIN,"K13","6","4 out of 5","2 out of 5","2 out of 5 stars","-41"
"250",9,"Chris Brooks",GB,"RB73","11","2 out of 5","4 out of 5","4 out of 5 stars","-"
"251",9,"Jordan James",SF,"RB74","8","2 out of 5","4 out of 5","2 out of 5 stars","+4"
"252",9,"Samaje Perine",CIN,"RB75","6","1 out of 5","4 out of 5","2 out of 5 stars","+38"
"253",9,"Cleveland Browns",CLE,"DST16","11","-","-","5 out of 5 stars","-11"
"254",9,"Isaiah Davis",NYJ,"RB76","13","2 out of 5","4 out of 5","3 out of 5 stars","-"
"255",9,"Antonio Williams",WAS,"WR88","7","4 out of 5","2 out of 5","2 out of 5 stars","+6"
"256",9,"Ja'Kobi Lane",BAL,"WR89","13","4 out of 5","4 out of 5","4 out of 5 stars","-108"
"257",9,"Tory Horton",SEA,"WR90","11","4 out of 5","4 out of 5","3 out of 5 stars","+42"
"258",9,"Elic Ayomanor",TEN,"WR91","9","1 out of 5","5 out of 5","3 out of 5 stars","-"
"259",9,"Harrison Butker",KC,"K14","5","-","-","5 out of 5 stars","-63"
"260",9,"Najee Harris",NYG,"RB77","8","2 out of 5","4 out of 5","4 out of 5 stars","+4"
"261",9,"Ty Johnson",BUF,"RB78","7","-","-","2 out of 5 stars","+25"
"262",9,"Ted Hurst III",TB,"WR92","10","4 out of 5","4 out of 5","4 out of 5 stars","+9"
"263",9,"Tyquan Thornton",KC,"WR93","5","2 out of 5","5 out of 5","2 out of 5 stars","-"
"264",9,"Chris Boswell",PIT,"K15","9","4 out of 5","2 out of 5","4 out of 5 stars","-53"
"265",9,"LeQuint Allen Jr.",JAC,"RB79","7","2 out of 5","4 out of 5","4 out of 5 stars","+35"
"266",9,"Michael Penix Jr.",ATL,"QB32","11","2 out of 5","5 out of 5","4 out of 5 stars","-8"
