Avg. ADP,Player,Pos,Vegas Proj.,FP Proj.,Difference
250.0,Dontayvion Wicks,WR,59.00,66.50,-7.50
250.0,Kayshon Boutte,WR,77.30,66.20,11.10
250.0,Tyler Conklin,TE,49.50,63.00,-13.50
250.0,Christian Watson,WR,26.00,61.60,-35.60
250.0,AJ Barner,TE,59.60,61.10,-1.50
250.0,Allen Lazard,WR,30.20,59.10,-28.90
250.0,Curtis Samuel,WR,44.40,59.00,-14.60
250.0,Ty Johnson,RB,48.70,58.80,-10.10
250.0,Greg Dortch,WR,66.20,57.20,9.00
250.0,Malik Washington,WR,57.50,54.10,3.40
250.0,Chris Rodriguez,RB,58.40,53.70,4.70
250.0,Austin Hooper,TE,43.00,53.10,-10.10
250.0,Samaje Perine,RB,41.60,53.00,-11.40
250.0,Van Jefferson,WR,25.10,52.70,-27.60
250.0,Antonio Gibson,RB,35.60,50.40,-14.80
250.0,Devaughn Vele,WR,64.50,50.40,14.10
250.0,Parker Washington,WR,56.20,48.60,7.60
250.0,Michael Mayer,TE,55.00,48.30,6.70
250.0,Jaylin Noel,WR,71.00,48.10,22.90
250.0,Dillon Gabriel,QB,22.00,47.80,-25.80
250.0,Tim Patrick,WR,48.70,47.60,1.10
250.0,JuJu SmithSchuster,WR,21.80,47.50,-25.70
250.0,Harold Fannin,TE,63.50,47.40,16.10
250.0,Foster Moreau,TE,29.50,47.10,-17.60
250.0,Kenneth Gainwell,RB,44.00,46.00,-2.00
250.0,Tai Felton,WR,50.30,45.80,4.50
250.0,Terrance Ferguson,TE,45.60,45.60,0.00
250.0,KaVontae Turpin,WR,68.70,45.00,23.70
250.0,Chimere Dike,WR,52.60,44.60,8.00
250.0,Devin Singletary,RB,52.60,43.90,8.70
250.0,Trevor Etienne,RB,29.20,43.70,-14.50
250.0,Khalil Herbert,RB,3.20,40.40,-37.20
250.0,Demarcus Robinson,WR,47.80,40.30,7.50
250.0,Jermaine Burton,WR,53.60,40.30,13.30
250.0,Josh Oliver,TE,30.50,39.70,-9.20
250.0,Devin Neal,RB,67.50,39.50,28.00
250.0,Sean Tucker,RB,57.50,38.70,18.80
250.0,Luke McCaffrey,WR,26.60,38.50,-11.90
